Element,Type,Control,Binding,Reference,Binding_Url,Correct_Binding,Correct_System,Binding_Value
 Sequence.coordinateSystem,integer,1..1,,,,,,
 Sequence.device,Reference(Device),0..1,,Device,,,,
 Sequence.implicitRules,uri,0..1,,,,,,
 Sequence.meta,Meta,0..1,,,,,,
 Sequence.observedSeq,string,0..1,,,,,,
 Sequence.patient,Reference(Patient),0..1,,Patient,,,,
 Sequence.pointer,Reference(Sequence),0..*,,Sequence,,,,
 Sequence.quality,BackboneElement,0..*,,,,,,
 Sequence.quality.end,integer,0..1,,,,,,
 Sequence.quality.fScore,decimal,0..1,,,,,,
 Sequence.quality.gtFP,decimal,0..1,,,,,,
 Sequence.quality.id,string,0..1,,,,,,
 Sequence.quality.method,CodeableConcept,0..1,,,,,,
 Sequence.quality.modifierExtension,Extension,0..*,,,,,,
 Sequence.quality.precision,decimal,0..1,,,,,,
 Sequence.quality.queryFP,decimal,0..1,,,,,,
 Sequence.quality.queryTP,decimal,0..1,,,,,,
 Sequence.quality.recall,decimal,0..1,,,,,,
 Sequence.quality.score,Quantity,0..1,,,,,,
 Sequence.quality.standardSequence,CodeableConcept,0..1,,,,,,
 Sequence.quality.start,integer,0..1,,,,,,
 Sequence.quality.truthFN,decimal,0..1,,,,,,
 Sequence.quality.truthTP,decimal,0..1,,,,,,
 Sequence.quantity,Quantity,0..1,,,,,,
 Sequence.readCoverage,integer,0..1,,,,,,
 Sequence.referenceSeq,BackboneElement,0..1,,,,,,
 Sequence.referenceSeq.chromosome,CodeableConcept,0..1,"Chromosome number for humanFor example codes, see chromosome-human",,http://hl7-fhir.github.io/valueset-chromosome-human.html,1,http://hl7.org/fhir/chromosome-human,"{""code"":""1"",""system"":""http://hl7.org/fhir/chromosome-human""}"
 Sequence.referenceSeq.extension,Extension,0..*,,,,,,
 Sequence.referenceSeq.genomeBuild,string,0..1,,,,,,
 Sequence.referenceSeq.id,string,0..1,,,,,,
 Sequence.referenceSeq.modifierExtension,Extension,0..*,,,,,,
 Sequence.referenceSeq.referenceSeqId,CodeableConcept,1..1,"Reference identifierFor example codes, see ENSEMBL",,http://hl7-fhir.github.io/valueset-sequence-referenceSeq.html,NC_000007.14,http://www.ensembl.org,"{""code"":""NC_000007.14"",""system"":""http://www.ensembl.org""}"
 Sequence.referenceSeq.referenceSeqPointer,Reference(Sequence),0..1,,Sequence,,,,
 Sequence.referenceSeq.referenceSeqString,string,0..1,,,,,,
 Sequence.referenceSeq.strand,integer,1..1,,,,,,
 Sequence.referenceSeq.windowEnd,integer,1..1,,,,,,
 Sequence.referenceSeq.windowStart,integer,1..1,,,,,,
 Sequence.repository,BackboneElement,0..*,,,,,,
 Sequence.repository.extension,Extension,0..*,,,,,,
 Sequence.repository.id,string,0..1,,,,,,
 Sequence.repository.modifierExtension,Extension,0..*,,,,,,
 Sequence.repository.name,string,0..1,,,,,,
 Sequence.repository.readId,string,0..1,,,,,,
 Sequence.repository.url,uri,0..1,,,,,,
 Sequence.repository.variantId,string,0..1,,,,,,
 Sequence.specimen,Reference(Specimen),0..1,,Specimen,,,,
 Sequence.structureVariant,BackboneElement,0..1,,,,,,
 Sequence.structureVariant.extension,Extension,0..*,,,,,,
 Sequence.structureVariant.id,string,0..1,,,,,,
 Sequence.structureVariant.inner,BackboneElement,0..1,,,,,,
 Sequence.structureVariant.inner.end,integer,0..1,,,,,,
 Sequence.structureVariant.inner.extension,Extension,0..*,,,,,,
 Sequence.structureVariant.inner.id,string,0..1,,,,,,
 Sequence.structureVariant.inner.modifierExtension,Extension,0..*,,,,,,
 Sequence.structureVariant.inner.start,integer,0..1,,,,,,
 Sequence.structureVariant.length,integer,0..1,,,,,,
 Sequence.structureVariant.modifierExtension,Extension,0..*,,,,,,
 Sequence.structureVariant.outer,BackboneElement,0..1,,,,,,
 Sequence.structureVariant.outer.end,integer,0..1,,,,,,
 Sequence.structureVariant.outer.extension,Extension,0..*,,,,,,
 Sequence.structureVariant.outer.id,string,0..1,,,,,,
 Sequence.structureVariant.outer.modifierExtension,Extension,0..*,,,,,,
 Sequence.structureVariant.outer.start,integer,0..1,,,,,,
 Sequence.structureVariant.precisionOfBoundaries,string,0..1,,,,,,
 Sequence.structureVariant.reportedaCGHRatio,decimal,0..1,,,,,,
 Sequence.text,Narrative,0..1 This element is affected by the following invariants: dom-1,,,,,,
 Sequence.type,code,1..1,"Type if a sequence -- DNA, RNA, or amino acid sequenceFor example codes, see sequenceType",,http://hl7-fhir.github.io/valueset-sequence-type.html,DNA,http://hl7.org/fhir/sequence-type,"{""code"":""DNA"",""customed"":""type""}"
 Sequence.variant,BackboneElement,0..*,,,,,,
 Sequence.variant.cigar,string,0..1,,,,,,
 Sequence.variant.end,integer,0..1,,,,,,
 Sequence.variant.extension,Extension,0..*,,,,,,
 Sequence.variant.id,string,0..1,,,,,,
 Sequence.variant.modifierExtension,Extension,0..*,,,,,,
 Sequence.variant.observedAllele,string,0..1,,,,,,
 Sequence.variant.referenceAllele,string,0..1,,,,,,
 Sequence.variant.start,integer,0..1,,,,,,
 Sequence.variant.variantPointer,Reference(Observation),0..1,,Observation,,,,
